"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 23 11:28:20 GMT 2022","Fri Sep 23 11:28:24 GMT 2022","4484","","Verify home page button","","Verify home page button","Should click about us button then home page button","Should click about us button then home page button",""
"passed","Fri Sep 23 11:28:05 GMT 2022","Fri Sep 23 11:28:14 GMT 2022","9144","","Verify clickability buttons","","Verify clickability buttons","Should verify clickability buttons on contact center page","Should verify clickability buttons on contact center page",""
"passed","Fri Sep 23 11:27:42 GMT 2022","Fri Sep 23 11:27:48 GMT 2022","5738","","Find price for SMS API for Ukraine","","Find price for SMS API for Ukraine","Check if the price for SMS API for Ukrain will change in Euro.","Check if the price for SMS API for Ukrain will change in Euro.",""
"passed","Fri Sep 23 11:28:30 GMT 2022","Fri Sep 23 11:28:34 GMT 2022","4212","","Verify saving calculator","","Verify saving calculator","Should verify saving calculator with messaging API","Should verify saving calculator with messaging API",""
"passed","Fri Sep 23 11:27:36 GMT 2022","Fri Sep 23 11:27:42 GMT 2022","6218","","Find price for SMS API for Ukraine","","Find price for SMS API for Ukraine","Should to show price for SIM for Ukraine in usd","Should to show price for SIM for Ukraine in usd",""
"passed","Fri Sep 23 11:28:50 GMT 2022","Fri Sep 23 11:28:51 GMT 2022","1369","","Verify tabs on home page without login","","Verify tabs on home page without login","should open pop-upwindow company","should open pop-upwindow company",""
"passed","Fri Sep 23 11:28:53 GMT 2022","Fri Sep 23 11:28:55 GMT 2022","2222","","Verify tabs on home page without login","","Verify tabs on home page without login","should click on network tab and redirected to network page","should click on network tab and redirected to network page",""
"passed","Fri Sep 23 11:28:51 GMT 2022","Fri Sep 23 11:28:53 GMT 2022","1365","","Verify tabs on home page without login","","Verify tabs on home page without login","should open pop-upwindow products","should open pop-upwindow products",""
"passed","Fri Sep 23 11:28:47 GMT 2022","Fri Sep 23 11:28:49 GMT 2022","1515","","Verify tabs on home page without login","","Verify tabs on home page without login","should open pop-upwindow solutions","should open pop-upwindow solutions",""
"passed","Fri Sep 23 11:27:56 GMT 2022","Fri Sep 23 11:28:00 GMT 2022","4244","","Login negative tests","","Login negative tests","Login with invalid password","Login with invalid password",""
"passed","Fri Sep 23 11:28:45 GMT 2022","Fri Sep 23 11:28:47 GMT 2022","2264","","Verify tabs on home page without login","","Verify tabs on home page without login","should open pop-upwindow pricing","should open pop-upwindow pricing",""
"passed","Fri Sep 23 11:27:50 GMT 2022","Fri Sep 23 11:27:56 GMT 2022","5897","","Login negative tests","","Login negative tests","Login with invalid email","Login with invalid email",""
"passed","Fri Sep 23 11:28:40 GMT 2022","Fri Sep 23 11:28:44 GMT 2022","3891","","Verify search input on blog page","","Verify search input on blog page","Should click on blog button on the resources drop down menu and enter Number pool to search input","Should click on blog button on the resources drop down menu and enter Number pool to search input",""
"passed","Fri Sep 23 11:28:49 GMT 2022","Fri Sep 23 11:28:50 GMT 2022","1257","","Verify tabs on home page without login","","Verify tabs on home page without login","should open pop-upwindow resources","should open pop-upwindow resources",""
