"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 23 08:55:18 UTC 2022","Fri Sep 23 08:55:21 UTC 2022","2884","","Verify tabs on home page without login","","Verify tabs on home page without login","should click on network tab and redirected to network page","should click on network tab and redirected to network page",""
"passed","Fri Sep 23 08:54:57 UTC 2022","Fri Sep 23 08:55:03 UTC 2022","6052","","Verify search input on blog page","","Verify search input on blog page","Should click on blog button on the resources drop down menu and enter Number pool to search input","Should click on blog button on the resources drop down menu and enter Number pool to search input",""
"passed","Fri Sep 23 08:54:22 UTC 2022","Fri Sep 23 08:54:34 UTC 2022","11981","","Verify clickability buttons","","Verify clickability buttons","Should verify clickability buttons on contact center page","Should verify clickability buttons on contact center page",""
"passed","Fri Sep 23 08:55:16 UTC 2022","Fri Sep 23 08:55:18 UTC 2022","1853","","Verify tabs on home page without login","","Verify tabs on home page without login","should open pop-upwindow products","should open pop-upwindow products",""
"passed","Fri Sep 23 08:54:47 UTC 2022","Fri Sep 23 08:54:54 UTC 2022","6244","","Verify saving calculator","","Verify saving calculator","Should verify saving calculator with messaging API","Should verify saving calculator with messaging API",""
"passed","Fri Sep 23 08:54:37 UTC 2022","Fri Sep 23 08:54:44 UTC 2022","6842","","Verify home page button","","Verify home page button","Should click about us button then home page button","Should click about us button then home page button",""
"passed","Fri Sep 23 08:54:15 UTC 2022","Fri Sep 23 08:54:20 UTC 2022","5072","","Login negative tests","","Login negative tests","Login with invalid password","Login with invalid password",""
"passed","Fri Sep 23 08:54:07 UTC 2022","Fri Sep 23 08:54:15 UTC 2022","7645","","Login negative tests","","Login negative tests","Login with invalid email","Login with invalid email",""
"passed","Fri Sep 23 08:53:38 UTC 2022","Fri Sep 23 08:53:50 UTC 2022","12187","","Find price for SMS API for Ukraine","","Find price for SMS API for Ukraine","Should to show price for SIM for Ukraine in usd","Should to show price for SIM for Ukraine in usd",""
"passed","Fri Sep 23 08:55:07 UTC 2022","Fri Sep 23 08:55:11 UTC 2022","3185","","Verify tabs on home page without login","","Verify tabs on home page without login","should open pop-upwindow pricing","should open pop-upwindow pricing",""
"passed","Fri Sep 23 08:55:13 UTC 2022","Fri Sep 23 08:55:14 UTC 2022","1725","","Verify tabs on home page without login","","Verify tabs on home page without login","should open pop-upwindow resources","should open pop-upwindow resources",""
"passed","Fri Sep 23 08:55:11 UTC 2022","Fri Sep 23 08:55:13 UTC 2022","1920","","Verify tabs on home page without login","","Verify tabs on home page without login","should open pop-upwindow solutions","should open pop-upwindow solutions",""
"passed","Fri Sep 23 08:55:14 UTC 2022","Fri Sep 23 08:55:16 UTC 2022","1806","","Verify tabs on home page without login","","Verify tabs on home page without login","should open pop-upwindow company","should open pop-upwindow company",""
"failed","Fri Sep 23 08:53:50 UTC 2022","Fri Sep 23 08:54:06 UTC 2022","16146","","Find price for SMS API for Ukraine","","Find price for SMS API for Ukraine","Check if the price for SMS API for Ukrain will change in Euro.","Check if the price for SMS API for Ukrain will change in Euro.",""
